ward,precinct,office,district,party,candidate,votes
6,1,President,,DEM,BILL RICHARDSON ,1
6,1,President,,DEM,JOHN EDWARDS ,0
6,1,President,,DEM,DENNIS J. KUCINICH ,0
6,1,President,,DEM,HILLARY CLINTON ,119
6,1,President,,DEM,BARACK OBAMA ,382
6,1,President,,DEM,UNCOMMITTED ,2
6,1,President,,DEM,Write-ins,0
6,1,President,,DEM,Total,504
6,1,President,,REP,MIKE HUCKABEE ,3
6,1,President,,REP,MITT ROMNEY ,3
6,1,President,,REP,JOHN MCCAIN ,14
6,1,President,,REP,RON PAUL ,2
6,1,President,,REP,RUDY GIULIANI ,1
6,1,President,,REP,Total,23
2,2,President,,DEM,BILL RICHARDSON ,0
2,2,President,,DEM,JOHN EDWARDS ,0
2,2,President,,DEM,DENNIS J. KUCINICH ,0
2,2,President,,DEM,HILLARY CLINTON ,38
2,2,President,,DEM,BARACK OBAMA ,55
2,2,President,,DEM,UNCOMMITTED ,0
2,2,President,,DEM,Write-ins,0
2,2,President,,DEM,Total,93
2,2,President,,REP,MIKE HUCKABEE ,6
2,2,President,,REP,MITT ROMNEY ,1
2,2,President,,REP,JOHN MCCAIN ,12
2,2,President,,REP,RON PAUL ,1
2,2,President,,REP,RUDY GIULIANI ,1
2,2,President,,REP,Total,21
2,3,President,,DEM,BILL RICHARDSON ,1
2,3,President,,DEM,JOHN EDWARDS ,5
2,3,President,,DEM,DENNIS J. KUCINICH ,1
2,3,President,,DEM,HILLARY CLINTON ,255
2,3,President,,DEM,BARACK OBAMA ,290
2,3,President,,DEM,UNCOMMITTED ,3
2,3,President,,DEM,Write-ins,3
2,3,President,,DEM,Total,558
2,3,President,,REP,MIKE HUCKABEE ,13
2,3,President,,REP,MITT ROMNEY ,4
2,3,President,,REP,JOHN MCCAIN ,87
2,3,President,,REP,RON PAUL ,3
2,3,President,,REP,RUDY GIULIANI ,1
2,3,President,,REP,Total,108
2,4,President,,DEM,BILL RICHARDSON ,0
2,4,President,,DEM,JOHN EDWARDS ,3
2,4,President,,DEM,DENNIS J. KUCINICH ,1
2,4,President,,DEM,HILLARY CLINTON ,217
2,4,President,,DEM,BARACK OBAMA ,318
2,4,President,,DEM,UNCOMMITTED ,2
2,4,President,,DEM,Write-ins,0
2,4,President,,DEM,Total,541
2,4,President,,REP,MIKE HUCKABEE ,14
2,4,President,,REP,MITT ROMNEY ,8
2,4,President,,REP,JOHN MCCAIN ,96
2,4,President,,REP,RON PAUL ,5
2,4,President,,REP,RUDY GIULIANI ,5
2,4,President,,REP,Total,128
2,5,President,,DEM,BILL RICHARDSON ,2
2,5,President,,DEM,JOHN EDWARDS ,2
2,5,President,,DEM,DENNIS J. KUCINICH ,1
2,5,President,,DEM,HILLARY CLINTON ,341
2,5,President,,DEM,BARACK OBAMA ,675
2,5,President,,DEM,UNCOMMITTED ,4
2,5,President,,DEM,Write-ins,2
2,5,President,,DEM,Total,1027
2,5,President,,REP,MIKE HUCKABEE ,18
2,5,President,,REP,MITT ROMNEY ,11
2,5,President,,REP,JOHN MCCAIN ,146
2,5,President,,REP,RON PAUL ,13
2,5,President,,REP,RUDY GIULIANI ,1
2,5,President,,REP,Total,189
2,6,President,,DEM,BILL RICHARDSON ,1
2,6,President,,DEM,JOHN EDWARDS ,3
2,6,President,,DEM,DENNIS J. KUCINICH ,0
2,6,President,,DEM,HILLARY CLINTON ,301
2,6,President,,DEM,BARACK OBAMA ,506
2,6,President,,DEM,UNCOMMITTED ,1
2,6,President,,DEM,Write-ins,1
2,6,President,,DEM,Total,813
