Precinct 1,"",""
Registration & Turnout ,"","3,373"
"Write In, if any ",5 ,0.39%
Total... ,"1,295 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,830 ,80.27%
SGN - ADAM EIDINGER ,186 ,17.99%
"Write In, if any ",18 ,1.74%
Total... ,"1,034 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,256 ,26.07%
ELEANOR JOHNSON ,250 ,25.46%
CHRISTOPHER McKEON ,146 ,14.87%
KEENAN KELLER ,322 ,32.79%
"Write In, if any ",8 ,0.81%
Total... ,982 ,100.00%
Precinct 4,"",""
Registration & Turnout ,"","1,809"
Election Day Turnout ,1093 ,60.42%
Absentee Turnout ,132 ,7.30%
Total... ,"1,225 ",67.72%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,925 ,76.01%
SGN - COBB/LaMARCHE ,3 ,0.25%
LIB - BADNARIK/CAMPAGNA ,5 ,0.41%
SWP - HARRIS/TROWE ,1 ,0.08%
REP - BUSH/CHENEY ,266 ,21.86%
IND - NADER/CAMEJO ,12 ,0.99%
"Write In, if any ",5 ,0.41%
Total... ,"1,217 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,904 ,77.60%
REP - MICHAEL ANDREW MONROE ,251 ,21.55%
"Write In, if any ",10 ,0.86%
Total... ,"1,165 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,690 ,41.74%
SGN - LAURENT ROSS ,143 ,8.65%
DEM - KWAME R. BROWN ,666 ,40.29%
IND - A.D. ''TONY'' DOMINGUEZ ,140 ,8.47%
"Write In, if any ",14 ,0.85%
Total... ,"1,653 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,833 ,75.05%
SGN - JAY HOUSTON MARX ,91 ,8.20%
"REP - JESSE JAMES PRICE, SR. ",180 ,16.22%
"Write In, if any ",6 ,0.54%
Total... ,"1,110 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,761 ,80.02%
SGN - ADAM EIDINGER ,178 ,18.72%
"Write In, if any ",12 ,1.26%
Total... ,951 ,100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,171 ,21.09%
ELEANOR JOHNSON ,229 ,28.24%
CHRISTOPHER McKEON ,132 ,16.28%
KEENAN KELLER ,270 ,33.29%
"Write In, if any ",9 ,1.11%
Total... ,811 ,100.00%
Precinct 5,"",""
Registration & Turnout ,"","3,575"
Election Day Turnout ,2075 ,58.04%
Absentee Turnout ,351 ,9.82%
Total... ,"2,426 ",67.86%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1771 ,73.49%
SGN - COBB/LaMARCHE ,8 ,0.33%
LIB - BADNARIK/CAMPAGNA ,7 ,0.29%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,600 ,24.90%
IND - NADER/CAMEJO ,16 ,0.66%
"Write In, if any ",8 ,0.33%
Total... ,"2,410 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1753 ,76.55%
REP - MICHAEL ANDREW MONROE ,523 ,22.84%
"Write In, if any ",14 ,0.61%
Total... ,"2,290 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1509 ,47.29%
SGN - LAURENT ROSS ,237 ,7.43%
DEM - KWAME R. BROWN ,1215 ,38.08%
IND - A.D. ''TONY'' DOMINGUEZ ,198 ,6.20%
"Write In, if any ",32 ,1.00%
Total... ,"3,191 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,1820 ,81.40%
SGN - JAY HOUSTON MARX ,128 ,5.72%
"REP - JESSE JAMES PRICE, SR. ",278 ,12.43%
"Write In, if any ",10 ,0.45%
Total... ,"2,236 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1443 ,81.71%
SGN - ADAM EIDINGER ,288 ,16.31%
"Write In, if any ",35 ,1.98%
Total... ,"1,766 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,376 ,22.49%
ELEANOR JOHNSON ,300 ,17.94%
CHRISTOPHER McKEON ,151 ,9.03%
KEENAN KELLER ,816 ,48.80%
"Write In, if any ",29 ,1.73%
Total... ,"1,672 ",100.00%
Precinct 6,"",""
Registration & Turnout ,"","5,889"
Election Day Turnout ,2171 ,36.87%
Absentee Turnout ,379 ,6.44%
Total... ,"2,550 ",43.30%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1793 ,70.62%
SGN - COBB/LaMARCHE ,6 ,0.24%
LIB - BADNARIK/CAMPAGNA ,7 ,0.28%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,693 ,27.29%
IND - NADER/CAMEJO ,31 ,1.22%
"Write In, if any ",9 ,0.35%
Total... ,"2,539 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1796 ,74.93%
REP - MICHAEL ANDREW MONROE ,594 ,24.78%
"Write In, if any ",7 ,0.29%
Total... ,"2,397 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1563 ,46.70%
SGN - LAURENT ROSS ,228 ,6.81%
DEM - KWAME R. BROWN ,1322 ,39.50%
IND - A.D. ''TONY'' DOMINGUEZ ,218 ,6.51%
"Write In, if any ",16 ,0.48%
Total... ,"3,347 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,1851 ,79.72%
SGN - JAY HOUSTON MARX ,123 ,5.30%
"REP - JESSE JAMES PRICE, SR. ",335 ,14.43%
"Write In, if any ",13 ,0.56%
Total... ,"2,322 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1533 ,79.97%
SGN - ADAM EIDINGER ,353 ,18.41%
"Write In, if any ",31 ,1.62%
Total... ,"1,917 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,528 ,28.84%
ELEANOR JOHNSON ,310 ,16.93%
CHRISTOPHER McKEON ,179 ,9.78%
KEENAN KELLER ,793 ,43.31%
"Write In, if any ",21 ,1.15%
Total... ,"1,831 ",100.00%
Precinct 7,"",""
Registration & Turnout ,"","1,913"
Election Day Turnout ,1115 ,58.29%
Absentee Turnout ,135 ,7.06%
Total... ,"1,250 ",65.34%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,871 ,69.96%
SGN - COBB/LaMARCHE ,6 ,0.48%
LIB - BADNARIK/CAMPAGNA ,7 ,0.56%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,347 ,27.87%
IND - NADER/CAMEJO ,8 ,0.64%
"Write In, if any ",6 ,0.48%
Total... ,"1,245 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,862 ,72.25%
REP - MICHAEL ANDREW MONROE ,325 ,27.24%
"Write In, if any ",6 ,0.50%
Total... ,"1,193 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,792 ,46.42%
SGN - LAURENT ROSS ,122 ,7.15%
DEM - KWAME R. BROWN ,651 ,38.16%
IND - A.D. ''TONY'' DOMINGUEZ ,131 ,7.68%
"Write In, if any ",10 ,0.59%
Total... ,"1,706 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,752 ,78.42%
SGN - ADAM EIDINGER ,193 ,20.13%
"Write In, if any ",14 ,1.46%
Total... ,959 ,100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,41 ,4.16%
HUGH ALLEN ,194 ,19.70%
TOM DAWSON ,42 ,4.26%
DAVID A. JORDAN ,25 ,2.54%
LAURA McGIFFERT SLOVER ,370 ,37.56%
VICTOR REINOSO ,224 ,22.74%
MAI ABDUL RAHMAN ,80 ,8.12%
"Write In, if any ",9 ,0.91%
Total... ,985 ,100.00%
Precinct 9,"",""
Registration & Turnout ,"","1,979"
Election Day Turnout ,1142 ,57.71%
Absentee Turnout ,160 ,8.08%
Total... ,"1,302 ",65.79%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,780 ,60.19%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,3 ,0.23%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,498 ,38.43%
IND - NADER/CAMEJO ,13 ,1.00%
"Write In, if any ",2 ,0.15%
Total... ,"1,296 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,825 ,67.13%
REP - MICHAEL ANDREW MONROE ,401 ,32.63%
"Write In, if any ",3 ,0.24%
Total... ,"1,229 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,967 ,55.32%
SGN - LAURENT ROSS ,80 ,4.58%
DEM - KWAME R. BROWN ,587 ,33.58%
IND - A.D. ''TONY'' DOMINGUEZ ,106 ,6.06%
"Write In, if any ",8 ,0.46%
Total... ,"1,748 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,698 ,82.90%
SGN - ADAM EIDINGER ,129 ,15.32%
"Write In, if any ",15 ,1.78%
Total... ,842 ,100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,39 ,3.66%
HUGH ALLEN ,258 ,24.18%
TOM DAWSON ,62 ,5.81%
DAVID A. JORDAN ,13 ,1.22%
LAURA McGIFFERT SLOVER ,358 ,33.55%
VICTOR REINOSO ,290 ,27.18%
MAI ABDUL RAHMAN ,40 ,3.75%
"Write In, if any ",7 ,0.66%
Total... ,"1,067 ",100.00%
Precinct 10,"",""
Registration & Turnout ,"","2,958"
Election Day Turnout ,1794 ,60.65%
Absentee Turnout ,256 ,8.65%
Total... ,"2,050 ",69.30%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1521 ,74.63%
SGN - COBB/LaMARCHE ,3 ,0.15%
LIB - BADNARIK/CAMPAGNA ,3 ,0.15%
SWP - HARRIS/TROWE ,3 ,0.15%
REP - BUSH/CHENEY ,491 ,24.09%
IND - NADER/CAMEJO ,12 ,0.59%
"Write In, if any ",5 ,0.25%
Total... ,"2,038 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1553 ,79.60%
REP - MICHAEL ANDREW MONROE ,389 ,19.94%
"Write In, if any ",9 ,0.46%
Total... ,"1,951 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1366 ,48.20%
SGN - LAURENT ROSS ,149 ,5.26%
DEM - KWAME R. BROWN ,1094 ,38.60%
IND - A.D. ''TONY'' DOMINGUEZ ,211 ,7.45%
"Write In, if any ",14 ,0.49%
Total... ,"2,834 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1251 ,84.36%
SGN - ADAM EIDINGER ,210 ,14.16%
"Write In, if any ",22 ,1.48%
Total... ,"1,483 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,63 ,3.76%
HUGH ALLEN ,349 ,20.81%
TOM DAWSON ,93 ,5.55%
DAVID A. JORDAN ,25 ,1.49%
LAURA McGIFFERT SLOVER ,573 ,34.17%
VICTOR REINOSO ,460 ,27.43%
MAI ABDUL RAHMAN ,110 ,6.56%
"Write In, if any ",4 ,0.24%
Total... ,"1,677 ",100.00%
Precinct 11,"",""
Registration & Turnout ,"","4,999"
Election Day Turnout ,2857 ,57.15%
Absentee Turnout ,399 ,7.98%
Total... ,"3,256 ",65.13%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2534 ,78.07%
SGN - COBB/LaMARCHE ,14 ,0.43%
LIB - BADNARIK/CAMPAGNA ,9 ,0.28%
SWP - HARRIS/TROWE ,2 ,0.06%
REP - BUSH/CHENEY ,646 ,19.90%
IND - NADER/CAMEJO ,30 ,0.92%
"Write In, if any ",11 ,0.34%
Total... ,"3,246 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2505 ,80.21%
REP - MICHAEL ANDREW MONROE ,602 ,19.28%
"Write In, if any ",16 ,0.51%
Total... ,"3,123 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1598 ,36.73%
SGN - LAURENT ROSS ,448 ,10.30%
DEM - KWAME R. BROWN ,1938 ,44.54%
IND - A.D. ''TONY'' DOMINGUEZ ,334 ,7.68%
"Write In, if any ",33 ,0.76%
Total... ,"4,351 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,2038 ,76.70%
SGN - ADAM EIDINGER ,576 ,21.68%
"Write In, if any ",43 ,1.62%
Total... ,"2,657 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,75 ,2.82%
HUGH ALLEN ,553 ,20.77%
TOM DAWSON ,88 ,3.31%
DAVID A. JORDAN ,113 ,4.24%
LAURA McGIFFERT SLOVER ,937 ,35.20%
VICTOR REINOSO ,740 ,27.80%
MAI ABDUL RAHMAN ,138 ,5.18%
"Write In, if any ",18 ,0.68%
Total... ,"2,662 ",100.00%
Precinct 12,"",""
Registration & Turnout ,"",855
Election Day Turnout ,492 ,57.54%
Absentee Turnout ,83 ,9.71%
Total... ,575 ,67.25%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,385 ,67.31%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,4 ,0.70%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,176 ,30.77%
IND - NADER/CAMEJO ,4 ,0.70%
"Write In, if any ",3 ,0.52%
Total... ,572 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,403 ,73.27%
REP - MICHAEL ANDREW MONROE ,145 ,26.36%
"Write In, if any ",2 ,0.36%
Total... ,550 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,409 ,51.00%
SGN - LAURENT ROSS ,45 ,5.61%
DEM - KWAME R. BROWN ,285 ,35.54%
IND - A.D. ''TONY'' DOMINGUEZ ,57 ,7.11%
"Write In, if any ",6 ,0.75%
Total... ,802 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,322 ,81.11%
SGN - ADAM EIDINGER ,68 ,17.13%
"Write In, if any ",7 ,1.76%
Total... ,397 ,100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,21 ,4.40%
HUGH ALLEN ,101 ,21.17%
TOM DAWSON ,58 ,12.16%
DAVID A. JORDAN ,7 ,1.47%
LAURA McGIFFERT SLOVER ,132 ,27.67%
VICTOR REINOSO ,126 ,26.42%
MAI ABDUL RAHMAN ,28 ,5.87%
"Write In, if any ",4 ,0.84%
Total... ,477 ,100.00%
Precinct 13,"",""
Registration & Turnout ,"","1,833"
Election Day Turnout ,1129 ,61.59%
Absentee Turnout ,194 ,10.58%
Total... ,"1,323 ",72.18%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1030 ,78.57%
SGN - COBB/LaMARCHE ,1 ,0.08%
LIB - BADNARIK/CAMPAGNA ,7 ,0.53%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,252 ,19.22%
IND - NADER/CAMEJO ,16 ,1.22%
"Write In, if any ",5 ,0.38%
Total... ,"1,311 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1020 ,81.67%
REP - MICHAEL ANDREW MONROE ,226 ,18.09%
"Write In, if any ",3 ,0.24%
Total... ,"1,249 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,774 ,43.07%
SGN - LAURENT ROSS ,153 ,8.51%
DEM - KWAME R. BROWN ,736 ,40.96%
IND - A.D. ''TONY'' DOMINGUEZ ,128 ,7.12%
"Write In, if any ",5 ,0.28%
Total... ,"1,796 ",99.94%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,995 ,83.97%
SGN - JAY HOUSTON MARX ,72 ,6.08%
"REP - JESSE JAMES PRICE, SR. ",116 ,9.79%
"Write In, if any ",2 ,0.17%
Total... ,"1,185 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,753 ,79.85%
SGN - ADAM EIDINGER ,174 ,18.45%
"Write In, if any ",16 ,1.70%
Total... ,943 ,100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,262 ,30.39%
ELEANOR JOHNSON ,166 ,19.26%
CHRISTOPHER McKEON ,94 ,10.90%
KEENAN KELLER ,329 ,38.17%
"Write In, if any ",11 ,1.28%
Total... ,862 ,100.00%
Precinct 14,"",""
Registration & Turnout ,"","3,859"
Election Day Turnout ,2069 ,53.61%
Absentee Turnout ,378 ,9.80%
Total... ,"2,447 ",63.41%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2042 ,83.83%
SGN - COBB/LaMARCHE ,9 ,0.37%
LIB - BADNARIK/CAMPAGNA ,18 ,0.74%
SWP - HARRIS/TROWE ,1 ,0.04%
REP - BUSH/CHENEY ,324 ,13.30%
IND - NADER/CAMEJO ,37 ,1.52%
"Write In, if any ",5 ,0.21%
Total... ,"2,436 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1998 ,85.46%
REP - MICHAEL ANDREW MONROE ,330 ,14.11%
"Write In, if any ",10 ,0.43%
Total... ,"2,338 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1196 ,36.09%
SGN - LAURENT ROSS ,413 ,12.46%
DEM - KWAME R. BROWN ,1458 ,44.00%
IND - A.D. ''TONY'' DOMINGUEZ ,218 ,6.58%
"Write In, if any ",29 ,0.88%
Total... ,"3,314 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,1808 ,81.29%
SGN - JAY HOUSTON MARX ,217 ,9.76%
"REP - JESSE JAMES PRICE, SR. ",191 ,8.59%
"Write In, if any ",8 ,0.36%
Total... ,"2,224 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1558 ,78.29%
SGN - ADAM EIDINGER ,411 ,20.65%
"Write In, if any ",21 ,1.06%
Total... ,"1,990 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,450 ,26.74%
ELEANOR JOHNSON ,351 ,20.86%
CHRISTOPHER McKEON ,176 ,10.46%
KEENAN KELLER ,687 ,40.82%
"Write In, if any ",19 ,1.13%
Total... ,"1,683 ",100.00%
Precinct 15,"",""
Registration & Turnout ,"","3,940"
Election Day Turnout ,2295 ,58.25%
Absentee Turnout ,440 ,11.17%
Total... ,"2,735 ",69.42%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2392 ,87.84%
SGN - COBB/LaMARCHE ,12 ,0.44%
LIB - BADNARIK/CAMPAGNA ,16 ,0.59%
SWP - HARRIS/TROWE ,3 ,0.11%
REP - BUSH/CHENEY ,257 ,9.44%
IND - NADER/CAMEJO ,27 ,0.99%
"Write In, if any ",16 ,0.59%
Total... ,"2,723 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2341 ,89.25%
REP - MICHAEL ANDREW MONROE ,269 ,10.26%
"Write In, if any ",13 ,0.50%
Total... ,"2,623 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1345 ,34.33%
SGN - LAURENT ROSS ,555 ,14.17%
DEM - KWAME R. BROWN ,1772 ,45.23%
IND - A.D. ''TONY'' DOMINGUEZ ,219 ,5.59%
"Write In, if any ",27 ,0.69%
Total... ,"3,918 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,2085 ,83.90%
SGN - JAY HOUSTON MARX ,221 ,8.89%
"REP - JESSE JAMES PRICE, SR. ",169 ,6.80%
"Write In, if any ",10 ,0.40%
Total... ,"2,485 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1772 ,77.92%
SGN - ADAM EIDINGER ,485 ,21.33%
"Write In, if any ",17 ,0.75%
Total... ,"2,274 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,537 ,26.72%
ELEANOR JOHNSON ,352 ,17.51%
CHRISTOPHER McKEON ,173 ,8.61%
KEENAN KELLER ,937 ,46.62%
"Write In, if any ",11 ,0.55%
Total... ,"2,010 ",100.00%
Precinct 16,"",""
Registration & Turnout ,"","3,228"
Election Day Turnout ,1947 ,60.32%
Absentee Turnout ,271 ,8.40%
Total... ,"2,218 ",68.71%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1950 ,88.32%
SGN - COBB/LaMARCHE ,7 ,0.32%
LIB - BADNARIK/CAMPAGNA ,9 ,0.41%
SWP - HARRIS/TROWE ,1 ,0.05%
REP - BUSH/CHENEY ,217 ,9.83%
IND - NADER/CAMEJO ,13 ,0.59%
"Write In, if any ",11 ,0.50%
Total... ,"2,208 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1892 ,88.25%
REP - MICHAEL ANDREW MONROE ,246 ,11.47%
"Write In, if any ",6 ,0.28%
Total... ,"2,144 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
