Precinct 1,"",""
Registration & Turnout ,"","3,373"
Election Day Turnout ,1434 ,42.51%
Absentee Turnout ,202 ,5.99%
Total... ,"1,636 ",48.50%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1491 ,93.25%
SGN - COBB/LaMARCHE ,4 ,0.25%
LIB - BADNARIK/CAMPAGNA ,3 ,0.19%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,90 ,5.63%
IND - NADER/CAMEJO ,6 ,0.38%
"Write In, if any ",4 ,0.25%
Total... ,"1,599 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1477 ,95.11%
REP - MICHAEL ANDREW MONROE ,73 ,4.70%
"Write In, if any ",3 ,0.19%
Total... ,"1,553 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,395 ,20.95%
SGN - LAURENT ROSS ,124 ,6.58%
DEM - KWAME R. BROWN ,1267 ,67.21%
IND - A.D. ''TONY'' DOMINGUEZ ,89 ,4.72%
"Write In, if any ",10 ,0.53%
Total... ,"1,885 ",100.00%
Precinct 2,"",""
Registration & Turnout ,"",873
Election Day Turnout ,255 ,29.21%
Absentee Turnout ,30 ,3.44%
Total... ,285 ,32.65%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,213 ,74.74%
SGN - COBB/LaMARCHE ,1 ,0.35%
LIB - BADNARIK/CAMPAGNA ,1 ,0.35%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,62 ,21.75%
IND - NADER/CAMEJO ,7 ,2.46%
"Write In, if any ",1 ,0.35%
Total... ,285 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,224 ,82.35%
REP - MICHAEL ANDREW MONROE ,45 ,16.54%
"Write In, if any ",3 ,1.10%
Total... ,272 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,121 ,31.59%
SGN - LAURENT ROSS ,41 ,10.70%
DEM - KWAME R. BROWN ,178 ,46.48%
IND - A.D. ''TONY'' DOMINGUEZ ,40 ,10.44%
"Write In, if any ",3 ,0.78%
Total... ,383 ,100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,190 ,75.40%
SGN - JAY HOUSTON MARX ,31 ,12.30%
"REP - JESSE JAMES PRICE, SR. ",30 ,11.90%
"Write In, if any ",1 ,0.40%
Total... ,252 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,174 ,73.73%
SGN - ADAM EIDINGER ,54 ,22.88%
"Write In, if any ",8 ,3.39%
Total... ,236 ,100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,33 ,17.37%
ELEANOR JOHNSON ,82 ,43.16%
CHRISTOPHER McKEON ,34 ,17.89%
KEENAN KELLER ,39 ,20.53%
"Write In, if any ",2 ,1.05%
Total... ,190 ,100.00%
Precinct 3,"",""
Registration & Turnout ,"","2,136"
Election Day Turnout ,1253 ,58.66%
Absentee Turnout ,160 ,7.49%
Total... ,"1,413 ",66.15%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1008 ,71.90%
SGN - COBB/LaMARCHE ,1 ,0.07%
LIB - BADNARIK/CAMPAGNA ,8 ,0.57%
SWP - HARRIS/TROWE ,1 ,0.07%
REP - BUSH/CHENEY ,363 ,25.89%
IND - NADER/CAMEJO ,13 ,0.93%
"Write In, if any ",8 ,0.57%
Total... ,"1,402 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1052 ,77.93%
REP - MICHAEL ANDREW MONROE ,290 ,21.48%
"Write In, if any ",8 ,0.59%
Total... ,"1,350 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,891 ,45.55%
SGN - LAURENT ROSS ,155 ,7.92%
DEM - KWAME R. BROWN ,743 ,37.99%
IND - A.D. ''TONY'' DOMINGUEZ ,154 ,7.87%
"Write In, if any ",13 ,0.66%
Total... ,"1,956 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,976 ,75.37%
SGN - JAY HOUSTON MARX ,105 ,8.11%
"REP - JESSE JAMES PRICE, SR. ",209 ,16.14%
