office,party,candidate,votes
DELEGATE TO THE U.S. HOUSE OF REP,,Under Votes,7544
DELEGATE TO THE U.S. HOUSE OF REP,,Over Votes,23
DELEGATE TO THE U.S. HOUSE OF REP,DEM,ELEANOR HOLMES NORTON,"111,726"
DELEGATE TO THE U.S. HOUSE OF REP,,Write In,"3,051"
MAYOR OF THE DISTRICT OF COLUMBIA,,Under Votes,1681
MAYOR OF THE DISTRICT OF COLUMBIA,,Over Votes,44
MAYOR OF THE DISTRICT OF COLUMBIA,DEM,ADRIAN FENTY,"106,848"
MAYOR OF THE DISTRICT OF COLUMBIA,SG,CHRIS OTTEN,"4,914"
MAYOR OF THE DISTRICT OF COLUMBIA,REP,DAVID W. KRANICH,"7,517"
MAYOR OF THE DISTRICT OF COLUMBIA,,Write In,"1,341"
CHAIRMAN OF THE COUNCIL,,Under Votes,12639
CHAIRMAN OF THE COUNCIL,,Over Votes,2
CHAIRMAN OF THE COUNCIL,DEM,VINCENT C. GRAY,"107,249"
CHAIRMAN OF THE COUNCIL,,Write In,"2,440"
AT-LARGE MEMBER OF THE COUNCIL,,Under Votes,65387
AT-LARGE MEMBER OF THE COUNCIL,,Over Votes,66
AT-LARGE MEMBER OF THE COUNCIL,IND,ANTONIO 'TONY' DOMINGUEZ,"8,759"
AT-LARGE MEMBER OF THE COUNCIL,DEM,PHIL MENDELSON,"90,599"
AT-LARGE MEMBER OF THE COUNCIL,REP,MARCUS SKELTON,"8,199"
AT-LARGE MEMBER OF THE COUNCIL,SG,ANN C. WILCOX,"12,390"
AT-LARGE MEMBER OF THE COUNCIL,IND,DAVID A. CATANIA,"58,293"
AT-LARGE MEMBER OF THE COUNCIL,,Write In,912
WARD ONE MEMBER OF THE COUNCIL,,Under Votes,990
WARD ONE MEMBER OF THE COUNCIL,,Over Votes,0
WARD ONE MEMBER OF THE COUNCIL,DEM,JIM GRAHAM,"11,489"
WARD ONE MEMBER OF THE COUNCIL,,Write In,326
WARD THREE MEMBER OF THE COUNCIL,,Under Votes,421
WARD THREE MEMBER OF THE COUNCIL,,Over Votes,3
WARD THREE MEMBER OF THE COUNCIL,DEM,MARY M. CHEH,"13,881"
WARD THREE MEMBER OF THE COUNCIL,REP,THERESA CONROY,"5,403"
WARD THREE MEMBER OF THE COUNCIL,,Write In,139
WARD FIVE MEMBER OF THE COUNCIL,,Under Votes,539
WARD FIVE MEMBER OF THE COUNCIL,,Over Votes,9
WARD FIVE MEMBER OF THE COUNCIL,IND,TONTALYA TERCEIRO WRIGHT,267
WARD FIVE MEMBER OF THE COUNCIL,SG,CAROLYN C. STEPTOE,"1,254"
WARD FIVE MEMBER OF THE COUNCIL,IND,MIRIAM MOORE,648
WARD FIVE MEMBER OF THE COUNCIL,DEM,"HARRY (TOMMY) THOMAS, JR.","13,507"
WARD FIVE MEMBER OF THE COUNCIL,,Write In,174
WARD SIX MEMBER OF THE COUNCIL,,Under Votes,328
WARD SIX MEMBER OF THE COUNCIL,,Over Votes,9
WARD SIX MEMBER OF THE COUNCIL,IND,WILL COBB,"4,634"
