office,party,candidate,votes
WARD SIX MEMBER OF THE COUNCIL,DEM,TOMMY WELLS,"10,318"
WARD SIX MEMBER OF THE COUNCIL,REP,TONY WILLIAMS,"1,839"
WARD SIX MEMBER OF THE COUNCIL,,Write In,60
UNITED STATES SENATOR,,Under Votes,14967
UNITED STATES SENATOR,,Over Votes,36
UNITED STATES SENATOR,SG,JOYCE ROBINSON-PAUL,"15,352"
UNITED STATES SENATOR,DEM,MICHAEL D. BROWN,"90,336"
UNITED STATES SENATOR,,Write In,"1,647"
UNITED STATES REPRESENTATIVE,,Under Votes,15471
UNITED STATES REPRESENTATIVE,,Over Votes,35
UNITED STATES REPRESENTATIVE,SG,KEITH R. WARE,"13,511"
UNITED STATES REPRESENTATIVE,DEM,MIKE PANETTA,"82,759"
UNITED STATES REPRESENTATIVE,REP,NELSON RIMENSNYDER,"9,700"
UNITED STATES REPRESENTATIVE,,Write In,862
PRESIDENT OF THE BOARD OF EDU.,,Under Votes,16094
PRESIDENT OF THE BOARD OF EDU.,,Over Votes,69
PRESIDENT OF THE BOARD OF EDU.,,CAROLYN GRAHAM,"37,126"
PRESIDENT OF THE BOARD OF EDU.,,TIMOTHY JENKINS,"13,437"
PRESIDENT OF THE BOARD OF EDU.,,ROBERT C. BOBB,"46,513"
PRESIDENT OF THE BOARD OF EDU.,,SUNDAY ABRAHAM,"3,046"
PRESIDENT OF THE BOARD OF EDU.,,LAURENT ROSS,"5,056"
PRESIDENT OF THE BOARD OF EDU.,,Write In,977
DISTRICT III MEM. OF THE BOARD OF EDU.,,Under Votes,4647
DISTRICT III MEM. OF THE BOARD OF EDU.,,Over Votes,29
DISTRICT III MEM. OF THE BOARD OF EDU.,,ROBERT VINSON BRANNUM,"3,781"
DISTRICT III MEM. OF THE BOARD OF EDU.,,LISA RAYMOND,"13,597"
DISTRICT III MEM. OF THE BOARD OF EDU.,,MARY BAIRD-CURRIE,"2,888"
DISTRICT III MEM. OF THE BOARD OF EDU.,,MARC BORBELY,"5,251"
DISTRICT III MEM. OF THE BOARD OF EDU.,,STEPHAN BALDI,"3,068"
DISTRICT III MEM. OF THE BOARD OF EDU.,,Write In,322
DISTRICT IV MEM. OF THE BOARD OF EDU.,,Under Votes,1943
DISTRICT IV MEM. OF THE BOARD OF EDU.,,Over Votes,21
DISTRICT IV MEM. OF THE BOARD OF EDU.,,CARDELL SHELTON,"2,391"
DISTRICT IV MEM. OF THE BOARD OF EDU.,,JACQUE D. PATTERSON,"4,526"
DISTRICT IV MEM. OF THE BOARD OF EDU.,,JACKIE PINCKNEY HACKETT,"3,974"
DISTRICT IV MEM. OF THE BOARD OF EDU.,,WILLIAM LOCKRIDGE,"9,721"
DISTRICT IV MEM. OF THE BOARD OF EDU.,,JIMMY JOHNSON,"1,120"
DISTRICT IV MEM. OF THE BOARD OF EDU.,,Write In,161
ANC FOR SMD 1A01,,Under Votes,36
ANC FOR SMD 1A01,,Over Votes,0
ANC FOR SMD 1A01,,JACQUELINE C. ARGUELLES,87
ANC FOR SMD 1A01,,LISA KRALOVIC DE LEON,67
ANC FOR SMD 1A01,,Write In,6
ANC FOR SMD 1A02,,Under Votes,62
ANC FOR SMD 1A02,,Over Votes,0
ANC FOR SMD 1A02,,"CALVIN B. WOOLDAND, JR.",246
ANC FOR SMD 1A02,,Write In,18
ANC FOR SMD 1A03,,Under Votes,55
ANC FOR SMD 1A03,,Over Votes,0
ANC FOR SMD 1A03,,ALEXANDER HOGAN,97
ANC FOR SMD 1A03,,Write In,4
ANC FOR SMD 1A04,,Under Votes,34
ANC FOR SMD 1A04,,Over Votes,0
ANC FOR SMD 1A04,,MACK A. JAMES,115
ANC FOR SMD 1A04,,BETTY PAIR,117
ANC FOR SMD 1A04,,Write In,0
ANC FOR SMD 1A05,,Under Votes,15
ANC FOR SMD 1A05,,Over Votes,0
ANC FOR SMD 1A05,,ANNE THEISEN,140
ANC FOR SMD 1A05,,Write In,0
ANC FOR SMD 1A06,,Under Votes,71
ANC FOR SMD 1A06,,Over Votes,0
ANC FOR SMD 1A06,,SAMUEL JOHNSON,138
ANC FOR SMD 1A06,,RICHARD DUBESHTER,53
ANC FOR SMD 1A06,,Write In,47
ANC FOR SMD 1A07,,Under Votes,34
ANC FOR SMD 1A07,,Over Votes,0
ANC FOR SMD 1A07,,LARRY E. RAY,195
ANC FOR SMD 1A07,,ALI MUHAMMAD,79
ANC FOR SMD 1A07,,Write In,13
ANC FOR SMD 1A08,,Under Votes,40
ANC FOR SMD 1A08,,Over Votes,0
ANC FOR SMD 1A08,,JANISHA N. RICHARDSON,305
ANC FOR SMD 1A08,,TAYLOR CHESNIK,103
ANC FOR SMD 1A08,,Write In,7
ANC FOR SMD 1A09,,Under Votes,11
ANC FOR SMD 1A09,,Over Votes,0
ANC FOR SMD 1A09,,LISA A. EADY,32
ANC FOR SMD 1A09,,MARIE WHITFIELD,81
ANC FOR SMD 1A09,,DONNY GONZALEZ,149
ANC FOR SMD 1A09,,Write In,5
ANC FOR SMD 1A10,,Under Votes,39
ANC FOR SMD 1A10,,Over Votes,0
ANC FOR SMD 1A10,,RICHARD JACKSON,114
ANC FOR SMD 1A10,,LENWOOD 'LENNY' JOHNSON,183
ANC FOR SMD 1A10,,Write In,14
ANC FOR SMD 1A11,,Under Votes,72
ANC FOR SMD 1A11,,Over Votes,0
ANC FOR SMD 1A11,,DOTTI LOVE WADE,205
ANC FOR SMD 1A11,,Write In,12
ANC FOR SMD 1B01,,Under Votes,16
ANC FOR SMD 1B01,,Over Votes,0
ANC FOR SMD 1B01,,LAWRENCE GUYOT,124
ANC FOR SMD 1B01,,MYLA MOSS,213
ANC FOR SMD 1B01,,Write In,4
ANC FOR SMD 1B02,,Under Votes,144
ANC FOR SMD 1B02,,Over Votes,0
ANC FOR SMD 1B02,,PHILIP C. SPALDING,502
ANC FOR SMD 1B02,,Write In,29
ANC FOR SMD 1B03,,Under Votes,34
ANC FOR SMD 1B03,,Over Votes,0
ANC FOR SMD 1B03,,CATHERINE HAMMONDS,160
ANC FOR SMD 1B03,,SEDRICK MUHAMMAD,157
ANC FOR SMD 1B03,,M.A. DOLL FITZGERALD,97
ANC FOR SMD 1B03,,Write In,5
ANC FOR SMD 1B04,,Under Votes,86
ANC FOR SMD 1B04,,Over Votes,0
ANC FOR SMD 1B04,,DEE HUNTER,222
ANC FOR SMD 1B04,,Write In,30
ANC FOR SMD 1B05,,Under Votes,47
ANC FOR SMD 1B05,,Over Votes,0
ANC FOR SMD 1B05,,HOWARD P. WILSON,92
ANC FOR SMD 1B05,,BRIANNE K. NADEAU,175
ANC FOR SMD 1B05,,Write In,6
ANC FOR SMD 1B06,,Under Votes,54
ANC FOR SMD 1B06,,Over Votes,0
ANC FOR SMD 1B06,,MEGHAN CONKLIN,154
ANC FOR SMD 1B06,,Write In,21
ANC FOR SMD 1B07,,Under Votes,36
ANC FOR SMD 1B07,,Over Votes,0
ANC FOR SMD 1B07,,ZACHARY WRIGHT,158
ANC FOR SMD 1B07,,Write In,8
ANC FOR SMD 1B08,,Under Votes,83
ANC FOR SMD 1B08,,Over Votes,0
ANC FOR SMD 1B08,,ROSEMARY AKINMBONI,209
ANC FOR SMD 1B08,,Write In,7
ANC FOR SMD 1B09,,Under Votes,48
ANC FOR SMD 1B09,,Over Votes,0
ANC FOR SMD 1B09,,"BRANDON M. STURDIVANT, SR.",77
ANC FOR SMD 1B09,,THOMAS K. D. SMITH,255
ANC FOR SMD 1B09,,Write In,11
ANC FOR SMD 1B10,,Under Votes,2
ANC FOR SMD 1B10,,Over Votes,0
ANC FOR SMD 1B10,,KELVIN P. ESTERS,27
ANC FOR SMD 1B10,,NATE MATHEWS,70
ANC FOR SMD 1B10,,Write In,2
ANC FOR SMD 1B11,,Under Votes,14
ANC FOR SMD 1B11,,Over Votes,0
ANC FOR SMD 1B11,,RAYMOND WRIGHT,74
ANC FOR SMD 1B11,,Write In,10
ANC FOR SMD 1C01,,Under Votes,140
ANC FOR SMD 1C01,,Over Votes,0
ANC FOR SMD 1C01,,BARRY WEISE,370
ANC FOR SMD 1C01,,Write In,20
ANC FOR SMD 1C02,,Under Votes,465
ANC FOR SMD 1C02,,Over Votes,0
ANC FOR SMD 1C02,,Write In,79
ANC FOR SMD 1C03,,Under Votes,131
ANC FOR SMD 1C03,,Over Votes,0
ANC FOR SMD 1C03,,BRYAN WEAVER,438
ANC FOR SMD 1C03,,Write In,17
ANC FOR SMD 1C04,,Under Votes,149
ANC FOR SMD 1C04,,Over Votes,0
ANC FOR SMD 1C04,,MINDY MORETTI,267
ANC FOR SMD 1C04,,TAMARA S. WEBB,110
ANC FOR SMD 1C04,,Write In,20
ANC FOR SMD 1C05,,Under Votes,95
ANC FOR SMD 1C05,,Over Votes,0
ANC FOR SMD 1C05,,J. MICHAEL LOGSDON,272
ANC FOR SMD 1C05,,Write In,20
ANC FOR SMD 1C06,,Under Votes,61
ANC FOR SMD 1C06,,Over Votes,0
ANC FOR SMD 1C06,,NADIA AHLSTEN,100
ANC FOR SMD 1C06,,NANCY SHIA,159
ANC FOR SMD 1C06,,Write In,17
ANC FOR SMD 1C07,,Under Votes,61
ANC FOR SMD 1C07,,Over Votes,0
ANC FOR SMD 1C07,,WILSON REYNOLDS,245
ANC FOR SMD 1C07,,Write In,5
ANC FOR SMD 1C08,,Under Votes,108
ANC FOR SMD 1C08,,Over Votes,0
ANC FOR SMD 1C08,,KATHIE BOETTRICH,377
ANC FOR SMD 1C08,,Write In,14
ANC FOR SMD 1D01,,Under Votes,75
ANC FOR SMD 1D01,,Over Votes,0
ANC FOR SMD 1D01,,JANE ZARA,251
ANC FOR SMD 1D01,,Write In,11
ANC FOR SMD 1D02,,Under Votes,63
ANC FOR SMD 1D02,,Over Votes,0
ANC FOR SMD 1D02,,JOE ANTHONY ESPARZA,92
ANC FOR SMD 1D02,,REED M. WIEDOWER,60
ANC FOR SMD 1D02,,Write In,10
ANC FOR SMD 1D03,,Under Votes,87
ANC FOR SMD 1D03,,Over Votes,0
ANC FOR SMD 1D03,,JACK McKAY,452
ANC FOR SMD 1D03,,Write In,17
ANC FOR SMD 1D04,,Under Votes,53
ANC FOR SMD 1D04,,Over Votes,0
ANC FOR SMD 1D04,,GREGG EDWARDS,158
ANC FOR SMD 1D04,,Write In,8
ANC FOR SMD 1D05,,Under Votes,118
ANC FOR SMD 1D05,,Over Votes,0
ANC FOR SMD 1D05,,DAVID BOSSERMAN,388
ANC FOR SMD 1D05,,Write In,17
ANC FOR SMD 1D06,,Under Votes,57
ANC FOR SMD 1D06,,Over Votes,0
ANC FOR SMD 1D06,,ANGELIA D. SCOTT,205
ANC FOR SMD 1D06,,Write In,8
ANC FOR SMD 2A01,,Under Votes,9
ANC FOR SMD 2A01,,Over Votes,0
ANC FOR SMD 2A01,,DAVID M. LEHRMAN,55
ANC FOR SMD 2A01,,Write In,7
ANC FOR SMD 2A02,,Under Votes,102
ANC FOR SMD 2A02,,Over Votes,0
ANC FOR SMD 2A02,,MICHAEL THOMAS,253
ANC FOR SMD 2A02,,Write In,10
ANC FOR SMD 2A03,,Under Votes,44
ANC FOR SMD 2A03,,Over Votes,0
ANC FOR SMD 2A03,,ASHER CORSON,200
ANC FOR SMD 2A03,,ANNE SAVAGE,123
ANC FOR SMD 2A03,,Write In,2
ANC FOR SMD 2A04,,Under Votes,93
ANC FOR SMD 2A04,,Over Votes,0
ANC FOR SMD 2A04,,JEFF BINDER,222
ANC FOR SMD 2A04,,Write In,14
ANC FOR SMD 2A05,,Under Votes,48
ANC FOR SMD 2A05,,Over Votes,0
ANC FOR SMD 2A05,,DOROTHY MILLER,147
ANC FOR SMD 2A05,,Write In,14
ANC FOR SMD 2A06,,Under Votes,15
ANC FOR SMD 2A06,,Over Votes,0
ANC FOR SMD 2A06,,VINCE MICONE,59
ANC FOR SMD 2A06,,Write In,7
ANC FOR SMD 2B01,,Under Votes,99
ANC FOR SMD 2B01,,Over Votes,0
ANC FOR SMD 2B01,,CURTIS FARRAR,269
ANC FOR SMD 2B01,,Write In,12
ANC FOR SMD 2B02,,Under Votes,263
ANC FOR SMD 2B02,,Over Votes,0
ANC FOR SMD 2B02,,Write In,46
ANC FOR SMD 2B03,,Under Votes,95
ANC FOR SMD 2B03,,Over Votes,0
ANC FOR SMD 2B03,,BOB MEEHAN,275
ANC FOR SMD 2B03,,Write In,48
ANC FOR SMD 2B04,,Under Votes,100
ANC FOR SMD 2B04,,Over Votes,0
ANC FOR SMD 2B04,,RYAN BUTLER,314
ANC FOR SMD 2B04,,Write In,45
ANC FOR SMD 2B05,,Under Votes,113
ANC FOR SMD 2B05,,Over Votes,0
ANC FOR SMD 2B05,,MARK L. BJORGE,312
ANC FOR SMD 2B05,,Write In,36
ANC FOR SMD 2B06,,Under Votes,88
ANC FOR SMD 2B06,,Over Votes,0
ANC FOR SMD 2B06,,MIKE SILVERSTEIN,255
ANC FOR SMD 2B06,,Write In,16
ANC FOR SMD 2B07,,Under Votes,245
ANC FOR SMD 2B07,,Over Votes,0
ANC FOR SMD 2B07,,Write In,282
ANC FOR SMD 2B08,,Under Votes,104
ANC FOR SMD 2B08,,Over Votes,0
ANC FOR SMD 2B08,,DOUGLAS F. JOHNSON,318
ANC FOR SMD 2B08,,Write In,6
ANC FOR SMD 2B09,,Under Votes,77
ANC FOR SMD 2B09,,Over Votes,0
ANC FOR SMD 2B09,,RAMON ESTRADA,301
ANC FOR SMD 2B09,,Write In,9
ANC FOR SMD 2C01,,Under Votes,20
ANC FOR SMD 2C01,,Over Votes,0
ANC FOR SMD 2C01,,ALEXANDER M. 'ALEX' PADRO,261
ANC FOR SMD 2C01,,MARY A. SUTHERLAND,107
ANC FOR SMD 2C01,,Write In,6
ANC FOR SMD 2C02,,Under Votes,29
ANC FOR SMD 2C02,,Over Votes,2
ANC FOR SMD 2C02,,KEVIN CHAPPLE,272
ANC FOR SMD 2C02,,"LEROY JOSEPH THORPE, JR.",267
ANC FOR SMD 2C02,,Write In,2
ANC FOR SMD 2C03,,Under Votes,49
ANC FOR SMD 2C03,,Over Votes,0
ANC FOR SMD 2C03,,JOHN TINPE,131
ANC FOR SMD 2C03,,DORIS L. BROOKS,315
ANC FOR SMD 2C03,,Write In,8
ANC FOR SMD 2C04,,Under Votes,32
ANC FOR SMD 2C04,,Over Votes,0
ANC FOR SMD 2C04,,RICHARD ROGERS,118
ANC FOR SMD 2C04,,BARBARA CURTIS,146
ANC FOR SMD 2C04,,Write In,6
ANC FOR SMD 2D01,,Under Votes,73
ANC FOR SMD 2D01,,Over Votes,0
ANC FOR SMD 2D01,,SANDRA PERLMUTTER,259
ANC FOR SMD 2D01,,Write In,9
ANC FOR SMD 2D02,,Under Votes,92
ANC FOR SMD 2D02,,Over Votes,0
ANC FOR SMD 2D02,,MARYEVA CANDON,242
ANC FOR SMD 2D02,,Write In,8
ANC FOR SMD 2E01,,Under Votes,49
ANC FOR SMD 2E01,,Over Votes,0
ANC FOR SMD 2E01,,ED SOLOMON,287
ANC FOR SMD 2E01,,Write In,4
ANC FOR SMD 2E02,,Under Votes,59
ANC FOR SMD 2E02,,Over Votes,0
ANC FOR SMD 2E02,,RON LEWIS,200
ANC FOR SMD 2E02,,Write In,7
ANC FOR SMD 2E03,,Under Votes,47
ANC FOR SMD 2E03,,Over Votes,0
ANC FOR SMD 2E03,,WILLIAM SKELSEY,136
ANC FOR SMD 2E03,,Write In,5
ANC FOR SMD 2E04,,Under Votes,1
ANC FOR SMD 2E04,,Over Votes,0
ANC FOR SMD 2E04,,JENNA LOWENSTEIN,20
ANC FOR SMD 2E04,,Write In,1
ANC FOR SMD 2E05,,Under Votes,45
ANC FOR SMD 2E05,,Over Votes,0
ANC FOR SMD 2E05,,BILL STARRELS,151
ANC FOR SMD 2E05,,Write In,7
ANC FOR SMD 2E06,,Under Votes,97
ANC FOR SMD 2E06,,Over Votes,0
ANC FOR SMD 2E06,,TOM BIRCH,448
ANC FOR SMD 2E06,,Write In,16
ANC FOR SMD 2E07,,Under Votes,140
ANC FOR SMD 2E07,,Over Votes,0
ANC FOR SMD 2E07,,"CHARLES F. EASON, JR.",302
ANC FOR SMD 2E07,,Write In,19
ANC FOR SMD 2F01,,Under Votes,145
ANC FOR SMD 2F01,,Over Votes,0
ANC FOR SMD 2F01,,CHARLES REED,482
ANC FOR SMD 2F01,,Write In,24
ANC FOR SMD 2F02,,Under Votes,83
ANC FOR SMD 2F02,,Over Votes,0
ANC FOR SMD 2F02,,JIM RICHARDSON,297
ANC FOR SMD 2F02,,Write In,8
ANC FOR SMD 2F03,,Under Votes,81
ANC FOR SMD 2F03,,Over Votes,0
ANC FOR SMD 2F03,,CHRISTOPHER DYER,334
ANC FOR SMD 2F03,,Write In,11
ANC FOR SMD 2F04,,Under Votes,66
ANC FOR SMD 2F04,,Over Votes,0
ANC FOR SMD 2F04,,JENNIFER TROCK,280
ANC FOR SMD 2F04,,Write In,9
ANC FOR SMD 2F05,,Under Votes,135
ANC FOR SMD 2F05,,Over Votes,0
ANC FOR SMD 2F05,,Write In,24
ANC FOR SMD 2F06,,Under Votes,82
ANC FOR SMD 2F06,,Over Votes,0
ANC FOR SMD 2F06,,MICHAEL B. BENARDO,304
ANC FOR SMD 2F06,,Write In,20
ANC FOR SMD 3B01,,Under Votes,104
ANC FOR SMD 3B01,,Over Votes,0
ANC FOR SMD 3B01,,KATHLEEN W. FIORILLO,341
ANC FOR SMD 3B01,,Write In,13
ANC FOR SMD 3B02,,Under Votes,101
ANC FOR SMD 3B02,,Over Votes,0
ANC FOR SMD 3B02,,PATRICIA S. BITONDO (Withdrew),126
ANC FOR SMD 3B02,,WILL MILLER,105
ANC FOR SMD 3B02,,Write In,20
ANC FOR SMD 3B03,,Under Votes,92
ANC FOR SMD 3B03,,Over Votes,0
ANC FOR SMD 3B03,,MELISSA LANE,333
ANC FOR SMD 3B03,,Write In,25
ANC FOR SMD 3B04,,Under Votes,241
ANC FOR SMD 3B04,,Over Votes,0
ANC FOR SMD 3B04,,HORACE (HOWIE) KREITZMAN,465
ANC FOR SMD 3B04,,Write In,26
ANC FOR SMD 3B05,,Under Votes,71
ANC FOR SMD 3B05,,Over Votes,0
ANC FOR SMD 3B05,,BRIAN A. COHEN,347
ANC FOR SMD 3B05,,Write In,30
ANC FOR SMD 3C01,,Under Votes,115
ANC FOR SMD 3C01,,Over Votes,1
ANC FOR SMD 3C01,,DIA BLACK,175
ANC FOR SMD 3C01,,AVNER SHAPIRO,143
ANC FOR SMD 3C01,,Write In,7
ANC FOR SMD 3C02,,Under Votes,87
ANC FOR SMD 3C02,,Over Votes,0
ANC FOR SMD 3C02,,DEBORAH JANE LINDEMAN,217
ANC FOR SMD 3C02,,GLORIA E. DAY,267
ANC FOR SMD 3C02,,Write In,2
ANC FOR SMD 3C03,,Under Votes,160
ANC FOR SMD 3C03,,Over Votes,0
ANC FOR SMD 3C03,,STEPHANIE M. ZOBAY,426
ANC FOR SMD 3C03,,Write In,40
ANC FOR SMD 3C04,,Under Votes,126
ANC FOR SMD 3C04,,Over Votes,0
ANC FOR SMD 3C04,,AVRAM FECHTER,277
ANC FOR SMD 3C04,,Write In,12
ANC FOR SMD 3C05,,Under Votes,118
ANC FOR SMD 3C05,,Over Votes,0
ANC FOR SMD 3C05,,GREGORY HAIR,247
ANC FOR SMD 3C05,,R. BRUCE BECKNER,384
ANC FOR SMD 3C05,,Write In,9
ANC FOR SMD 3C06,,Under Votes,89
ANC FOR SMD 3C06,,Over Votes,0
ANC FOR SMD 3C06,,TRUDY REEVES,357
ANC FOR SMD 3C06,,Write In,12
ANC FOR SMD 3C07,,Under Votes,438
ANC FOR SMD 3C07,,Over Votes,0
ANC FOR SMD 3C07,,Write In,104
ANC FOR SMD 3C08,,Under Votes,108
ANC FOR SMD 3C08,,Over Votes,1
ANC FOR SMD 3C08,,CATHERINE MAY,294
ANC FOR SMD 3C08,,SHELLEY H. COHEN,112
ANC FOR SMD 3C08,,Write In,7
ANC FOR SMD 3C09,,Under Votes,100
ANC FOR SMD 3C09,,Over Votes,0
ANC FOR SMD 3C09,,NANCY J. MACWOOD,354
ANC FOR SMD 3C09,,Write In,30
ANC FOR SMD 3D01,,Under Votes,111
ANC FOR SMD 3D01,,Over Votes,0
ANC FOR SMD 3D01,,ELIZABETH (BETSY) SANDZA,282
ANC FOR SMD 3D01,,KENT SLOWINSKI,210
ANC FOR SMD 3D01,,Write In,12
ANC FOR SMD 3D02,,Under Votes,97
ANC FOR SMD 3D02,,Over Votes,0
ANC FOR SMD 3D02,,Write In,99
ANC FOR SMD 3D03,,Under Votes,149
ANC FOR SMD 3D03,,Over Votes,0
ANC FOR SMD 3D03,,NAN S. WELLS,370
ANC FOR SMD 3D03,,Write In,66
ANC FOR SMD 3D04,,Under Votes,136
ANC FOR SMD 3D04,,Over Votes,0
ANC FOR SMD 3D04,,RACHEL W. THOMPSON,495
ANC FOR SMD 3D04,,Write In,55
ANC FOR SMD 3D05,,Under Votes,69
ANC FOR SMD 3D05,,Over Votes,0
ANC FOR SMD 3D05,,ALMA HARDY GATES,308
ANC FOR SMD 3D05,,JAY ROUSE,268
ANC FOR SMD 3D05,,Write In,4
ANC FOR SMD 3D06,,Under Votes,71
ANC FOR SMD 3D06,,Over Votes,0
ANC FOR SMD 3D06,,ANN F. HEUER,264
ANC FOR SMD 3D06,,Write In,14
ANC FOR SMD 3D07,,Under Votes,8
ANC FOR SMD 3D07,,Over Votes,0
ANC FOR SMD 3D07,,Write In,4
ANC FOR SMD 3D08,,Under Votes,343
ANC FOR SMD 3D08,,Over Votes,0
ANC FOR SMD 3D08,,Write In,47
ANC FOR SMD 3D09,,Under Votes,88
ANC FOR SMD 3D09,,Over Votes,0
ANC FOR SMD 3D09,,ANN HAAS,359
ANC FOR SMD 3D09,,Write In,11
ANC FOR SMD 3E01,,Under Votes,154
ANC FOR SMD 3E01,,Over Votes,0
ANC FOR SMD 3E01,,AMY MCVEY,497
ANC FOR SMD 3E01,,Write In,39
ANC FOR SMD 3E02,,Under Votes,589
ANC FOR SMD 3E02,,Over Votes,0
ANC FOR SMD 3E02,,Write In,165
ANC FOR SMD 3E03,,Under Votes,143
ANC FOR SMD 3E03,,Over Votes,0
ANC FOR SMD 3E03,,CAROLYN M. SHERMAN,461
ANC FOR SMD 3E03,,Write In,72
ANC FOR SMD 3E04,,Under Votes,149
ANC FOR SMD 3E04,,Over Votes,0
ANC FOR SMD 3E04,,LUCY ELDRIDGE,466
ANC FOR SMD 3E04,,Write In,22
ANC FOR SMD 3E05,,Under Votes,52
ANC FOR SMD 3E05,,Over Votes,0
ANC FOR SMD 3E05,,ANNE C. SULLIVAN,160
ANC FOR SMD 3E05,,Write In,13
ANC FOR SMD 3F01,,Under Votes,401
ANC FOR SMD 3F01,,Over Votes,0
ANC FOR SMD 3F01,,Write In,195
ANC FOR SMD 3F02,,Under Votes,151
ANC FOR SMD 3F02,,Over Votes,0
ANC FOR SMD 3F02,,KAREN LEE PERRY,435
ANC FOR SMD 3F02,,Write In,8
ANC FOR SMD 3F03,,Under Votes,436
ANC FOR SMD 3F03,,Over Votes,0
ANC FOR SMD 3F03,,Write In,284
ANC FOR SMD 3F04,,Under Votes,175
ANC FOR SMD 3F04,,Over Votes,0
ANC FOR SMD 3F04,,FRANK T. WINSTEAD,344
ANC FOR SMD 3F04,,Write In,60
ANC FOR SMD 3F05,,Under Votes,288
ANC FOR SMD 3F05,,Over Votes,0
ANC FOR SMD 3F05,,Write In,124
ANC FOR SMD 3F06,,Under Votes,282
ANC FOR SMD 3F06,,Over Votes,0
ANC FOR SMD 3F06,,Write In,355
ANC FOR SMD 3F07,,Under Votes,130
ANC FOR SMD 3F07,,Over Votes,0
ANC FOR SMD 3F07,,DANIEL L. KLIBANOFF,337
ANC FOR SMD 3F07,,Write In,15
ANC FOR SMD 3G01,,Under Votes,185
ANC FOR SMD 3G01,,Over Votes,0
ANC FOR SMD 3G01,,CAROL SEITZ,580
ANC FOR SMD 3G01,,Write In,11
ANC FOR SMD 3G02,,Under Votes,167
ANC FOR SMD 3G02,,Over Votes,0
ANC FOR SMD 3G02,,GARY THOMPSON,533
ANC FOR SMD 3G02,,Write In,11
ANC FOR SMD 3G03,,Under Votes,121
ANC FOR SMD 3G03,,Over Votes,0
ANC FOR SMD 3G03,,SAMANTHA NOLAN,595
ANC FOR SMD 3G03,,Write In,38
ANC FOR SMD 3G04,,Under Votes,150
ANC FOR SMD 3G04,,Over Votes,0
ANC FOR SMD 3G04,,ALLEN E. BEACH,559
ANC FOR SMD 3G04,,Write In,20
ANC FOR SMD 3G05,,Under Votes,162
