office,district,party,candidate,votes
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Under Votes,3946
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Over Votes,9
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Andy Miscuk,"6,681"
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,"95,419"
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,"Write In, if any",687
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Under Votes,548
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Over Votes,24
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Vincent Orange,"3,075"
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Adrian Fenty,"60,732"
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Michael A. Brown,650
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Linda Cropp,"32,897"
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Artee (RT) Milligan,105
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Marie Johns,"8,501"
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Nestor Djonkam,73
MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,"Write In, if any",145
CHAIRMAN OF THE COUNCIL,,DEM,Under Votes,4490
CHAIRMAN OF THE COUNCIL,,DEM,Over Votes,5
CHAIRMAN OF THE COUNCIL,,DEM,Vincent C. Gray,"58,345"
CHAIRMAN OF THE COUNCIL,,DEM,Kathy Patterson,"43,646"
CHAIRMAN OF THE COUNCIL,,DEM,"Write In, if any",261
AT-LARGE MEMBER OF THE COUNCIL,,DEM,Under Votes,8002
AT-LARGE MEMBER OF THE COUNCIL,,DEM,Over Votes,8
AT-LARGE MEMBER OF THE COUNCIL,,DEM,Phil Mendelson,"62,776"
AT-LARGE MEMBER OF THE COUNCIL,,DEM,A. Scott Bolden,"35,486"
AT-LARGE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",468
WARD ONE MEMBER OF THE COUNCIL,,DEM,Under Votes,506
WARD ONE MEMBER OF THE COUNCIL,,DEM,Over Votes,1
WARD ONE MEMBER OF THE COUNCIL,,DEM,Jim Graham,"9,028"
WARD ONE MEMBER OF THE COUNCIL,,DEM,Chad Williams,"1,361"
WARD ONE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",70
WARD THREE MEMBER OF THE COUNCIL,,DEM,Under Votes,327
WARD THREE MEMBER OF THE COUNCIL,,DEM,Over Votes,12
WARD THREE MEMBER OF THE COUNCIL,,DEM,Bill Rice,954
WARD THREE MEMBER OF THE COUNCIL,,DEM,Paul Strauss,"2,110"
WARD THREE MEMBER OF THE COUNCIL,,DEM,Jonathan Rees,32
WARD THREE MEMBER OF THE COUNCIL,,DEM,Sam Brooks,"1,191"
WARD THREE MEMBER OF THE COUNCIL,,DEM,Erik S. Gaull,"1,023"
WARD THREE MEMBER OF THE COUNCIL,,DEM,Eric Goulet,490
WARD THREE MEMBER OF THE COUNCIL,,DEM,Cathy Wiss,"1,158"
WARD THREE MEMBER OF THE COUNCIL,,DEM,Mary M. Cheh,"6,462"
WARD THREE MEMBER OF THE COUNCIL,,DEM,Robert Gordon,"1,159"
WARD THREE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",15
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Under Votes,451
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Over Votes,8
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Regina James,547
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Deborah ''Debbie'' Smith,373
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Bruce A. Marshall,"1,491"
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Audrey M. Ray,508
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Ron L. Magnus,621
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Rae Zapata,"1,649"
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Joe Harris,212
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Vera Winfield,224
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Frank Wilds,"2,920"
WARD FIVE MEMBER OF THE COUNCIL,,DEM,"Harry (Tommy) Thomas, Jr.","6,027"
WARD FIVE MEMBER OF THE COUNCIL,,DEM,Kathy Henderson,714
WARD FIVE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",60
WARD SIX MEMBER OF THE COUNCIL,,DEM,Under Votes,778
WARD SIX MEMBER OF THE COUNCIL,,DEM,Over Votes,1
WARD SIX MEMBER OF THE COUNCIL,,DEM,Leo Pinson,"1,714"
WARD SIX MEMBER OF THE COUNCIL,,DEM,"Curtis L. Etherly, Jr.","2,510"
WARD SIX MEMBER OF THE COUNCIL,,DEM,Tommy Wells,"8,323"
WARD SIX MEMBER OF THE COUNCIL,,DEM,"Write In, if any",239
UNITED STATES SENATOR,,DEM,Under Votes,21395
UNITED STATES SENATOR,,DEM,Over Votes,9
UNITED STATES SENATOR,,DEM,Michael D. Brown,"62,415"
UNITED STATES SENATOR,,DEM,Philip Pannell,"21,552"
UNITED STATES SENATOR,,DEM,"Write In, if any","1,363"
UNITED STATES REPRESENTATIVE,,DEM,Under Votes,29314
UNITED STATES REPRESENTATIVE,,DEM,Over Votes,18
UNITED STATES REPRESENTATIVE,,DEM,Mike Panetta,"36,373"
UNITED STATES REPRESENTATIVE,,DEM,John J. Forster,"25,554"
UNITED STATES REPRESENTATIVE,,DEM,James S. Bubar,"13,493"
UNITED STATES REPRESENTATIVE,,DEM,"Write In, if any","1,973"
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,REP,Under Votes,1877
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,REP,Over Votes,0
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,REP,"Write In, if any",616
MAYOR OF THE DISTRICT OF COLUMBIA,,REP,Under Votes,174
MAYOR OF THE DISTRICT OF COLUMBIA,,REP,Over Votes,2
MAYOR OF THE DISTRICT OF COLUMBIA,,REP,David W. Kranich,"1,513"
MAYOR OF THE DISTRICT OF COLUMBIA,,REP,"Write In, if any",804
CHAIRMAN OF THE COUNCIL,,REP,Under Votes,1892
CHAIRMAN OF THE COUNCIL,,REP,Over Votes,0
CHAIRMAN OF THE COUNCIL,,REP,"Write In, if any",601
AT-LARGE MEMBER OF THE COUNCIL,,REP,Under Votes,462
AT-LARGE MEMBER OF THE COUNCIL,,REP,Over Votes,1
AT-LARGE MEMBER OF THE COUNCIL,,REP,Marcus Skelton,"1,766"
AT-LARGE MEMBER OF THE COUNCIL,,REP,"Write In, if any",264
WARD ONE MEMBER OF THE COUNCIL,,REP,Under Votes,157
WARD ONE MEMBER OF THE COUNCIL,,REP,Over Votes,0
WARD ONE MEMBER OF THE COUNCIL,,REP,"Write In, if any",46
WARD THREE MEMBER OF THE COUNCIL,,REP,Under Votes,82
WARD THREE MEMBER OF THE COUNCIL,,REP,Over Votes,1
WARD THREE MEMBER OF THE COUNCIL,,REP,Theresa Conroy,577
WARD THREE MEMBER OF THE COUNCIL,,REP,"Write In, if any",101
WARD FIVE MEMBER OF THE COUNCIL,,REP,Under Votes,116
WARD FIVE MEMBER OF THE COUNCIL,,REP,Over Votes,0
WARD FIVE MEMBER OF THE COUNCIL,,REP,"Write In, if any",88
WARD SIX MEMBER OF THE COUNCIL,,REP,Under Votes,34
WARD SIX MEMBER OF THE COUNCIL,,REP,Over Votes,0
WARD SIX MEMBER OF THE COUNCIL,,REP,Tony Williams,376
WARD SIX MEMBER OF THE COUNCIL,,REP,"Write In, if any",50
UNITED STATES SENATOR,,REP,Under Votes,2170
UNITED STATES SENATOR,,REP,Over Votes,0
UNITED STATES SENATOR,,REP,"Write In, if any",323
UNITED STATES REPRESENTATIVE,,REP,Under Votes,2169
UNITED STATES REPRESENTATIVE,,REP,Over Votes,0
UNITED STATES REPRESENTATIVE,,REP,"Write In, if any",324
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,SG,Under Votes,307
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,SG,Over Votes,0
DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,SG,"Write In, if any",230
MAYOR OF THE DISTRICT OF COLUMBIA,,SG,Under Votes,27
MAYOR OF THE DISTRICT OF COLUMBIA,,SG,Over Votes,0
MAYOR OF THE DISTRICT OF COLUMBIA,,SG,Chris Otten,256
MAYOR OF THE DISTRICT OF COLUMBIA,,SG,"Write In, if any",255
CHAIRMAN OF THE COUNCIL,,SG,Under Votes,327
CHAIRMAN OF THE COUNCIL,,SG,Over Votes,0
CHAIRMAN OF THE COUNCIL,,SG,"Write In, if any",210
AT-LARGE MEMBER OF THE COUNCIL,,SG,Under Votes,85
AT-LARGE MEMBER OF THE COUNCIL,,SG,Over Votes,0
AT-LARGE MEMBER OF THE COUNCIL,,SG,Ann C. Wilcox,375
AT-LARGE MEMBER OF THE COUNCIL,,SG,"Write In, if any",78
WARD ONE MEMBER OF THE COUNCIL,,SG,Under Votes,92
WARD ONE MEMBER OF THE COUNCIL,,SG,Over Votes,0
WARD ONE MEMBER OF THE COUNCIL,,SG,"Write In, if any",50
WARD THREE MEMBER OF THE COUNCIL,,SG,Under Votes,15
WARD THREE MEMBER OF THE COUNCIL,,SG,Over Votes,0
WARD THREE MEMBER OF THE COUNCIL,,SG,"Write In, if any",28
WARD FIVE MEMBER OF THE COUNCIL,,SG,Under Votes,2
WARD FIVE MEMBER OF THE COUNCIL,,SG,Over Votes,0
WARD FIVE MEMBER OF THE COUNCIL,,SG,Carolyn C. Steptoe,40
WARD FIVE MEMBER OF THE COUNCIL,,SG,"Philip Blair, Jr.",33
WARD FIVE MEMBER OF THE COUNCIL,,SG,"Write In, if any",16
WARD SIX MEMBER OF THE COUNCIL,,SG,Under Votes,39
WARD SIX MEMBER OF THE COUNCIL,,SG,Over Votes,0
WARD SIX MEMBER OF THE COUNCIL,,SG,"Write In, if any",38
UNITED STATES SENATOR,,SG,Under Votes,103
UNITED STATES SENATOR,,SG,Over Votes,0
UNITED STATES SENATOR,,SG,Joyce Robinson-Paul,402
UNITED STATES SENATOR,,SG,"Write In, if any",33
UNITED STATES REPRESENTATIVE,,SG,Under Votes,106
UNITED STATES REPRESENTATIVE,,SG,Over Votes,0
UNITED STATES REPRESENTATIVE,,SG,Keith R. Ware,398
UNITED STATES REPRESENTATIVE,,SG,"Write In, if any",34
