ward,office,district,party,candidate,votes
Ward 2,SHADOW SENATOR,,SGN, ADAM EIDINGER ,"3,735 "
Ward 2,SHADOW SENATOR,,,Write in,249 
Ward 2,SHADOW SENATOR,,,Total,"20,344 "
Ward 2,DISTRICT I MEMBER OF THE BOARD OF EDU (14) ,,,JEFF SMITH ,"5,708 "
Ward 2,DISTRICT I MEMBER OF THE BOARD OF EDU (14) ,,,ELEANOR JOHNSON ,"4,083 "
Ward 2,DISTRICT I MEMBER OF THE BOARD OF EDU (14) ,,,CHRISTOPHER McKEON ,"1,868 "
Ward 2,DISTRICT I MEMBER OF THE BOARD OF EDU (14) ,,,KEENAN KELLER ,"6,474 "
Ward 2,DISTRICT I MEMBER OF THE BOARD OF EDU (14) ,,,Write in,199 
Ward 2,DISTRICT I MEMBER OF THE BOARD OF EDU (14) ,,,Total,"18,332 "
Ward 3,PRESIDENT,,DEM, KERRY/EDWARDS ,"28,358 "
Ward 3,PRESIDENT,,SGN, COBB/LaMARCHE ,103 
Ward 3,PRESIDENT,,LIB, BADNARIK/CAMPAGNA ,139 
Ward 3,PRESIDENT,,SWP, HARRIS/TROWE ,16 
Ward 3,PRESIDENT,,REP, BUSH/CHENEY ,"6,953 "
Ward 3,PRESIDENT,,IND, NADER/CAMEJO ,304 
Ward 3,PRESIDENT,,,Write in,120 
Ward 3,PRESIDENT,,,Total,"35,993 "
Ward 3,DELEGATE,At Large,DEM, ELEANOR HOLMES NORTON ,"28,221 "
Ward 3,DELEGATE,At Large,REP, MICHAEL ANDREW MONROE ,"6,148 "
Ward 3,DELEGATE,At Large,,Write in,191 
Ward 3,DELEGATE,At Large,,Total,"34,560 "
Ward 3,AT-LARGE MEMBER OF THE COUNCIL (17) ,,REP, CAROL SCHWARTZ ,"22,117 "
Ward 3,AT-LARGE MEMBER OF THE COUNCIL (17) ,,SGN, LAURENT ROSS ,"3,936 "
Ward 3,AT-LARGE MEMBER OF THE COUNCIL (17) ,,DEM, KWAME R. BROWN ,"21,471 "
Ward 3,AT-LARGE MEMBER OF THE COUNCIL (17) ,,IND, A.D. ''TONY'' DOMINGUEZ ,"3,367 "
Ward 3,AT-LARGE MEMBER OF THE COUNCIL (17) ,,,Write in,320 
Ward 3,AT-LARGE MEMBER OF THE COUNCIL (17) ,,,Total,"51,211 "
Ward 3,SHADOW SENATOR,,DEM, RAY BROWNE ,"21,681 "
Ward 3,SHADOW SENATOR,,SGN, ADAM EIDINGER ,"5,227 "
Ward 3,SHADOW SENATOR,,,Write in,414 
Ward 3,SHADOW SENATOR,,,Total,"27,322 "
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,DWIGHT E. SINGLETON ,"1,012 "
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,HUGH ALLEN ,"6,203 "
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,TOM DAWSON ,"1,131 "
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,DAVID A. JORDAN ,541 
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,LAURA McGIFFERT SLOVER ,"8,921 "
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,VICTOR REINOSO ,"9,462 "
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,MAI ABDUL RAHMAN ,"2,343 "
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,Write in,157 
Ward 3,DISTRICT II MEMBER OF THE BOARD OF EDU (17) ,,,Total,"29,770 "
Ward 4,PRESIDENT,,EM ,KERRY/EDWARDS ,"30,341 "
Ward 4,PRESIDENT,,GN ,COBB/LaMARCHE ,87 
Ward 4,PRESIDENT,,IB ,BADNARIK/CAMPAGNA ,30 
Ward 4,PRESIDENT,,WP ,HARRIS/TROWE ,17 
Ward 4,PRESIDENT,,EP ,BUSH/CHENEY ,"2,156 "
Ward 4,PRESIDENT,,ND ,NADER/CAMEJO ,159 
Ward 4,PRESIDENT,,,"rite In, if any ",59 
Ward 4,PRESIDENT,,,Total,"32,849 "
Ward 4,DELEGATE,At Large,EM ,ELEANOR HOLMES NORTON ,"30,507 "
Ward 4,DELEGATE,At Large,EP ,MICHAEL ANDREW MONROE ,"1,539 "
Ward 4,DELEGATE,At Large,,"rite In, if any ",108 
Ward 4,DELEGATE,At Large,,Total,"32,154 "
Ward 4,AT-LARGE MEMBER OF THE COUNCIL (20) ,,EP ,CAROL SCHWARTZ ,"13,861 "
Ward 4,AT-LARGE MEMBER OF THE COUNCIL (20) ,,GN ,LAURENT ROSS ,"2,639 "
Ward 4,AT-LARGE MEMBER OF THE COUNCIL (20) ,,EM ,KWAME R. BROWN ,"25,942 "
Ward 4,AT-LARGE MEMBER OF THE COUNCIL (20) ,,ND ,A.D. ''TONY'' DOMINGUEZ ,"2,098 "
Ward 4,AT-LARGE MEMBER OF THE COUNCIL (20) ,,,"rite In, if any ",169 
Ward 4,AT-LARGE MEMBER OF THE COUNCIL (20) ,,,Total,"44,709 "
Ward 4,WARD FOUR MEMBER OF THE COUNCIL (20) ,,EM ,ADRIAN FENTY ,"30,530 "
Ward 4,WARD FOUR MEMBER OF THE COUNCIL (20) ,,,"rite In, if any ",334 
Ward 4,WARD FOUR MEMBER OF THE COUNCIL (20) ,,,Total,"30,864 "
Ward 4,SHADOW SENATOR,,EM ,RAY BROWNE ,"25,772 "
Ward 4,SHADOW SENATOR,,GN ,ADAM EIDINGER ,"2,703 "
Ward 4,SHADOW SENATOR,,,"rite In, if any ",185 
Ward 4,SHADOW SENATOR,,,Total,"28,660 "
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,WIGHT E. SINGLETON ,"12,170 "
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,UGH ALLEN ,"3,002 "
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,OM DAWSON ,"1,716 "
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,AVID A. JORDAN ,508 
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,AURA McGIFFERT SLOVER ,"2,615 "
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,ICTOR REINOSO ,"8,008 "
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,AI ABDUL RAHMAN ,"2,189 "
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,"rite In, if any ",117 
Ward 4,DISTRICT II MEMBER OF THE BOARD OF EDU (20) ,,,Total,"30,325 "
Ward 5,PRESIDENT,,DEM, KERRY/EDWARDS ,
Ward 5,PRESIDENT,,SGN, COBB/LaMARCHE ,
Ward 5,PRESIDENT,,LIB, BADNARIK/CAMPAGNA ,
Ward 5,PRESIDENT,,SWP, HARRIS/TROWE ,
Ward 5,PRESIDENT,,REP, BUSH/CHENEY ,
Ward 5,PRESIDENT,,IND, NADER/CAMEJO ,
Ward 5,PRESIDENT,,,Write in,
Ward 5,PRESIDENT,,,Total,
Ward 5,DELEGATE,At Large,DEM, ELEANOR HOLMES NORTON ,
Ward 5,DELEGATE,At Large,REP, MICHAEL ANDREW MONROE ,
Ward 5,DELEGATE,At Large,,Write in,
Ward 5,DELEGATE,At Large,,Total,
Ward 5,AT-LARGE MEMBER OF THE COUNCIL (18) ,,REP, CAROL SCHWARTZ ,
Ward 5,AT-LARGE MEMBER OF THE COUNCIL (18) ,,SGN, LAURENT ROSS ,
Ward 5,AT-LARGE MEMBER OF THE COUNCIL (18) ,,DEM, KWAME R. BROWN ,
Ward 5,AT-LARGE MEMBER OF THE COUNCIL (18) ,,IND, A.D. ''TONY'' DOMINGUEZ ,
Ward 5,AT-LARGE MEMBER OF THE COUNCIL (18) ,,,Write in,
Ward 5,AT-LARGE MEMBER OF THE COUNCIL (18) ,,,Total,
Ward 5,SHADOW SENATOR,,DEM, RAY BROWNE ,
Ward 5,SHADOW SENATOR,,SGN, ADAM EIDINGER ,
Ward 5,SHADOW SENATOR,,,Write in,
Ward 5,SHADOW SENATOR,,,Total,
Ward 6,PRESIDENT,,DEM, KERRY/EDWARDS ,"25,654 "
Ward 6,PRESIDENT,,SGN, COBB/LaMARCHE ,110 
Ward 6,PRESIDENT,,LIB, BADNARIK/CAMPAGNA ,105 
Ward 6,PRESIDENT,,SWP, HARRIS/TROWE ,17 
Ward 6,PRESIDENT,,REP, BUSH/CHENEY ,"3,339 "
Ward 6,PRESIDENT,,IND, NADER/CAMEJO ,220 
Ward 6,PRESIDENT,,,Write in,86 
Ward 6,PRESIDENT,,,Total,"29,531 "
Ward 6,DELEGATE,At Large,DEM, ELEANOR HOLMES NORTON ,"25,534 "
Ward 6,DELEGATE,At Large,REP, MICHAEL ANDREW MONROE ,"3,137 "
Ward 6,DELEGATE,At Large,,Write in,156 
Ward 6,DELEGATE,At Large,,Total,"28,827 "
Ward 6,AT-LARGE MEMBER OF THE COUNCIL (17) ,,REP, CAROL SCHWARTZ ,"12,448 "
Ward 6,AT-LARGE MEMBER OF THE COUNCIL (17) ,,SGN, LAURENT ROSS ,"3,420 "
Ward 6,AT-LARGE MEMBER OF THE COUNCIL (17) ,,DEM, KWAME R. BROWN ,"21,178 "
Ward 6,AT-LARGE MEMBER OF THE COUNCIL (17) ,,IND, A.D. ''TONY'' DOMINGUEZ ,"2,518 "
Ward 6,AT-LARGE MEMBER OF THE COUNCIL (17) ,,,Write in,329 
Ward 6,AT-LARGE MEMBER OF THE COUNCIL (17) ,,,Total,"39,893 "
Ward 6,SHADOW SENATOR,,DEM, RAY BROWNE ,"20,964 "
Ward 6,SHADOW SENATOR,,SGN, ADAM EIDINGER ,"4,024 "
Ward 6,SHADOW SENATOR,,,Write in,371 
Ward 6,SHADOW SENATOR,,,Total,"25,359 "
Ward 7,PRESIDENT,,DEM, KERRY/EDWARDS ,"25,914 "
Ward 7,PRESIDENT,,SGN, COBB/LaMARCHE ,38 
Ward 7,PRESIDENT,,LIB, BADNARIK/CAMPAGNA ,9 
Ward 7,PRESIDENT,,SWP, HARRIS/TROWE ,14 
Ward 7,PRESIDENT,,REP, BUSH/CHENEY ,"1,006 "
Ward 7,PRESIDENT,,IND, NADER/CAMEJO ,94 
Ward 7,PRESIDENT,,,Write in,37 
Ward 7,PRESIDENT,,,Total,"27,112 "
Ward 7,DELEGATE,At Large,DEM, ELEANOR HOLMES NORTON ,"26,088 "
Ward 7,DELEGATE,At Large,REP, MICHAEL ANDREW MONROE ,644 
Ward 7,DELEGATE,At Large,,Write in,57 
Ward 7,DELEGATE,At Large,,Total,"26,789 "
Ward 7,AT-LARGE MEMBER OF THE COUNCIL (24) ,,REP, CAROL SCHWARTZ ,"8,134 "
Ward 7,AT-LARGE MEMBER OF THE COUNCIL (24) ,,SGN, LAURENT ROSS ,"1,792 "
Ward 7,AT-LARGE MEMBER OF THE COUNCIL (24) ,,DEM, KWAME R. BROWN ,"23,428 "
Ward 7,AT-LARGE MEMBER OF THE COUNCIL (24) ,,IND, A.D. ''TONY'' DOMINGUEZ ,"1,209 "
Ward 7,AT-LARGE MEMBER OF THE COUNCIL (24) ,,,Write in,112 
Ward 7,AT-LARGE MEMBER OF THE COUNCIL (24) ,,,Total,"34,675 "
Ward 7,WARD SEVEN MEMBER OF THE COUNCIL (24) ,,SGN, MICHELE TINGLING-CLEMMONS ,"1,198 "
Ward 7,WARD SEVEN MEMBER OF THE COUNCIL (24) ,,REP, JEROD TOLSON ,491 
Ward 7,WARD SEVEN MEMBER OF THE COUNCIL (24) ,,DEM, VINCENT C. GRAY ,"24,206 "
Ward 7,WARD SEVEN MEMBER OF THE COUNCIL (24) ,,,Write in,571 
Ward 7,WARD SEVEN MEMBER OF THE COUNCIL (24) ,,,Total,"26,466 "
Ward 7,SHADOW SENATOR,,DEM, RAY BROWNE ,"23,937 "
Ward 7,SHADOW SENATOR,,SGN, ADAM EIDINGER ,"1,267 "
Ward 7,SHADOW SENATOR,,,Write in,93 
Ward 7,SHADOW SENATOR,,,Total,"25,297 "
Ward 8,PRESIDENT,,DEM, KERRY/EDWARDS ,"19,872 "
Ward 8,PRESIDENT,,SGN, COBB/LaMARCHE ,25 
Ward 8,PRESIDENT,,LIB, BADNARIK/CAMPAGNA ,9 
Ward 8,PRESIDENT,,SWP, HARRIS/TROWE ,11 
Ward 8,PRESIDENT,,REP, BUSH/CHENEY ,689 
Ward 8,PRESIDENT,,IND, NADER/CAMEJO ,59 
Ward 8,PRESIDENT,,,Write in,18 
Ward 8,PRESIDENT,,,Total,"20,683 "
Ward 8,DELEGATE,At Large,DEM, ELEANOR HOLMES NORTON ,"19,701 "
Ward 8,DELEGATE,At Large,REP, MICHAEL ANDREW MONROE ,478 
Ward 8,DELEGATE,At Large,,Write in,40 
Ward 8,DELEGATE,At Large,,Total,"20,219 "
Ward 8,AT-LARGE MEMBER OF THE COUNCIL (16) ,,REP, CAROL SCHWARTZ ,"4,876 "
Ward 8,AT-LARGE MEMBER OF THE COUNCIL (16) ,,SGN, LAURENT ROSS ,"1,250 "
Ward 8,AT-LARGE MEMBER OF THE COUNCIL (16) ,,DEM, KWAME R. BROWN ,"17,231 "
Ward 8,AT-LARGE MEMBER OF THE COUNCIL (16) ,,IND, A.D. ''TONY'' DOMINGUEZ ,837 
Ward 8,AT-LARGE MEMBER OF THE COUNCIL (16) ,,,Write in,78 
Ward 8,AT-LARGE MEMBER OF THE COUNCIL (16) ,,,Total,"24,272 "
Ward 8,WARD EIGHT MEMBER OF THE COUNCIL (16) ,,DEM, MARION BARRY ,"19,333 "
Ward 8,WARD EIGHT MEMBER OF THE COUNCIL (16) ,,REP, CARDELL SHELTON ,861 
Ward 8,WARD EIGHT MEMBER OF THE COUNCIL (16) ,,,Write in,170 
Ward 8,WARD EIGHT MEMBER OF THE COUNCIL (16) ,,,Total,"20,364 "
Ward 8,SHADOW SENATOR,,DEM, RAY BROWNE ,"18,127 "
Ward 8,SHADOW SENATOR,,SGN, ADAM EIDINGER ,810 
Ward 8,SHADOW SENATOR,,,Write in,65 
Ward 8,SHADOW SENATOR,,,Total,"19,002 "
