ward,office,district,party,candidate,votes
Ward 1,PRESIDENT,,DEM, KERRY/EDWARDS ,"23,727 "
Ward 1,PRESIDENT,,SGN, COBB/LaMARCHE ,191 
Ward 1,PRESIDENT,,LIB, BADNARIK/CAMPAGNA ,85 
Ward 1,PRESIDENT,,SWP, HARRIS/TROWE ,26 
Ward 1,PRESIDENT,,REP, BUSH/CHENEY ,"1,751 "
Ward 1,PRESIDENT,,IND, NADER/CAMEJO ,258 
Ward 1,PRESIDENT,,,Write in,58 
Ward 1,PRESIDENT,,,Total,"26,096 "
Ward 1,DELEGATE,At Large,DEM, ELEANOR HOLMES NORTON ,"23,386 "
Ward 1,DELEGATE,At Large,REP, MICHAEL ANDREW MONROE ,"1,728 "
Ward 1,DELEGATE,At Large,,Write in,127 
Ward 1,DELEGATE,At Large,,Total,"25,241 "
Ward 1,AT-LARGE MEMBER OF THE COUNCIL (16) ,,REP, CAROL SCHWARTZ ,"9,681 "
Ward 1,AT-LARGE MEMBER OF THE COUNCIL (16) ,,SGN, LAURENT ROSS ,"4,161 "
Ward 1,AT-LARGE MEMBER OF THE COUNCIL (16) ,,DEM, KWAME R. BROWN ,"19,092 "
Ward 1,AT-LARGE MEMBER OF THE COUNCIL (16) ,,IND, A.D. ''TONY'' DOMINGUEZ ,"2,160 "
Ward 1,AT-LARGE MEMBER OF THE COUNCIL (16) ,,,Write in,301 
Ward 1,AT-LARGE MEMBER OF THE COUNCIL (16) ,,,Total,"35,395 "
Ward 1,SHADOW SENATOR,,DEM, RAY BROWNE ,"17,486 "
Ward 1,SHADOW SENATOR,,SGN, ADAM EIDINGER ,"5,140 "
Ward 1,SHADOW SENATOR,,,Write in,189 
Ward 1,SHADOW SENATOR,,,Total,"22,815 "
Ward 1,DISTRICT I MEMBER OF THE BOARD OF EDU (16) ,,,JEFF SMITH ,"9,610 "
Ward 1,DISTRICT I MEMBER OF THE BOARD OF EDU (16) ,,,ELEANOR JOHNSON ,"4,317 "
Ward 1,DISTRICT I MEMBER OF THE BOARD OF EDU (16) ,,,CHRISTOPHER McKEON ,"1,371 "
Ward 1,DISTRICT I MEMBER OF THE BOARD OF EDU (16) ,,,KEENAN KELLER ,"6,119 "
Ward 1,DISTRICT I MEMBER OF THE BOARD OF EDU (16) ,,,Write in,207 
Ward 1,DISTRICT I MEMBER OF THE BOARD OF EDU (16) ,,,Total,"21,624 "
Ward 2,PRESIDENT,,DEM, KERRY/EDWARDS ,"20,691 "
Ward 2,PRESIDENT,,SGN, COBB/LaMARCHE ,90 
Ward 2,PRESIDENT,,LIB, BADNARIK/CAMPAGNA ,104 
Ward 2,PRESIDENT,,SWP, HARRIS/TROWE ,11 
Ward 2,PRESIDENT,,REP, BUSH/CHENEY ,"3,713 "
Ward 2,PRESIDENT,,IND, NADER/CAMEJO ,238 
Ward 2,PRESIDENT,,,Write in,86 
Ward 2,PRESIDENT,,,Total,"24,933 "
Ward 2,DELEGATE,At Large,DEM, ELEANOR HOLMES NORTON ,"20,427 "
Ward 2,DELEGATE,At Large,REP, MICHAEL ANDREW MONROE ,"3,451 "
Ward 2,DELEGATE,At Large,,Write in,110 
Ward 2,DELEGATE,At Large,,Total,"23,988 "
Ward 2,AT-LARGE MEMBER OF THE COUNCIL (14) ,,REP, CAROL SCHWARTZ ,"12,497 "
Ward 2,AT-LARGE MEMBER OF THE COUNCIL (14) ,,SGN, LAURENT ROSS ,"3,444 "
Ward 2,AT-LARGE MEMBER OF THE COUNCIL (14) ,,DEM, KWAME R. BROWN ,"15,399 "
Ward 2,AT-LARGE MEMBER OF THE COUNCIL (14) ,,IND, A.D. ''TONY'' DOMINGUEZ ,"2,290 "
Ward 2,AT-LARGE MEMBER OF THE COUNCIL (14) ,,,Write in,237 
Ward 2,AT-LARGE MEMBER OF THE COUNCIL (14) ,,,Total,"33,867 "
Ward 2,WARD TWO MEMBER OF THE COUNCIL (14) ,,DEM, JACK EVANS ,"19,053 "
Ward 2,WARD TWO MEMBER OF THE COUNCIL (14) ,,SGN, JAY HOUSTON MARX ,"1,838 "
Ward 2,WARD TWO MEMBER OF THE COUNCIL (14) ,,REP," JESSE JAMES PRICE, SR. ","2,133 "
Ward 2,WARD TWO MEMBER OF THE COUNCIL (14) ,,,Write in,101 
Ward 2,WARD TWO MEMBER OF THE COUNCIL (14) ,,,Total,"23,125 "
Ward 2,SHADOW SENATOR,,DEM, RAY BROWNE ,"16,360 "
