office,district,party,candidate,votes
WARD TWO MEMBER OF THE COUNCIL,,DEM, JACK EVANS ,19053
WARD TWO MEMBER OF THE COUNCIL,,REP," JESSE JAMES PRICE, SR. ",2133
WARD TWO MEMBER OF THE COUNCIL,,SGN, JAY HOUSTON MARX ,1838
WARD TWO MEMBER OF THE COUNCIL,,,Write in,101
SHADOW SENATOR,,DEM, RAY BROWNE ,168693
SHADOW SENATOR,,SGN, ADAM EIDINGER ,25077
SHADOW SENATOR,,,Write in,
PRESIDENT,,DEM, KERRY/EDWARDS,"202,970"
PRESIDENT,,REP, BUSH/CHENEY,"21,256"
PRESIDENT,,IND, NADER/CAMEJO,"1,485"
PRESIDENT,,SGN, COBB/LaMARCHE,737
PRESIDENT,,,Write in,506
PRESIDENT,,LIB, BADNARIK/CAMPAGNA,502
PRESIDENT,,SWP, HARRIS/TROWE,130
DISTRICT I MEMBER OF THE BOARD OF EDU,,,JEFF SMITH ,15318
DISTRICT I MEMBER OF THE BOARD OF EDU,,,KEENAN KELLER ,12593
DISTRICT I MEMBER OF THE BOARD OF EDU,,,ELEANOR JOHNSON ,8400
DISTRICT I MEMBER OF THE BOARD OF EDU,,,CHRISTOPHER McKEON ,3239
DISTRICT I MEMBER OF THE BOARD OF EDU,,,Write in,406
WARD FOUR MEMBER OF THE COUNCIL,,DEM, ADRIAN FENTY ,30530
WARD FOUR MEMBER OF THE COUNCIL,,,Write in,334
WARD SEVEN MEMBER OF THE COUNCIL,,DEM, VINCENT C. GRAY ,24206
WARD SEVEN MEMBER OF THE COUNCIL,,SGN, MICHELE TINGLING-CLEMMONS ,1198
WARD SEVEN MEMBER OF THE COUNCIL,,,Write in,571
WARD SEVEN MEMBER OF THE COUNCIL,,REP, JEROD TOLSON ,491
DISTRICT II MEMBER OF THE BOARD OF EDU,,,VICTOR REINOSO ,17470
DISTRICT II MEMBER OF THE BOARD OF EDU,,,DWIGHT E. SINGLETON ,13182
DISTRICT II MEMBER OF THE BOARD OF EDU,,,LAURA McGIFFERT SLOVER ,11536
DISTRICT II MEMBER OF THE BOARD OF EDU,,,HUGH ALLEN ,9205
DISTRICT II MEMBER OF THE BOARD OF EDU,,,MAI ABDUL RAHMAN ,4532
DISTRICT II MEMBER OF THE BOARD OF EDU,,,TOM DAWSON ,2847
DISTRICT II MEMBER OF THE BOARD OF EDU,,,DAVID A. JORDAN ,1049
DISTRICT II MEMBER OF THE BOARD OF EDU,,,Write in,274
DELEGATE,At Large,DEM, ELEANOR HOLMES NORTON ,202027
DELEGATE,At Large,REP, MICHAEL ANDREW MONROE ,18296
DELEGATE,At Large,,Write in,890
WARD EIGHT MEMBER OF THE COUNCIL,,DEM, MARION BARRY ,19333
WARD EIGHT MEMBER OF THE COUNCIL,,REP, CARDELL SHELTON ,861
WARD EIGHT MEMBER OF THE COUNCIL,,,Write in,170
AT-LARGE MEMBER OF THE COUNCIL,,,Number to Vote For: 2,
AT-LARGE MEMBER OF THE COUNCIL,,DEM, KWAME R. BROWN ,167891
AT-LARGE MEMBER OF THE COUNCIL,,REP, CAROL SCHWARTZ ,93743
AT-LARGE MEMBER OF THE COUNCIL,,SGN, LAURENT ROSS ,23322
AT-LARGE MEMBER OF THE COUNCIL,,IND, A.D. ''TONY'' DOMINGUEZ ,16359
AT-LARGE MEMBER OF THE COUNCIL,,,Write in,1732
