ward,office,district,party,candidate,votes
1,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,LIB,Gary Johnson - Bill Weld              ,645
1,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,STG,Jill Stein - Ajamu Baraka             ,675
1,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,REP,Donald J. Trump - Michael R. Pence    ,1066
1,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,DEM,Hillary Clinton - Tim Kaine           ,37490
1,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,NON,WRITE-IN                              ,653
1,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,OVER VOTES                            ,16
1,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,UNDER VOTES                           ,88
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,STG,Natale (Lino) Stracuzzi               ,2301
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,DEM,Eleanor Holmes Norton                 ,34335
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,LIB,Martin Moulton                        ,2241
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,NON,WRITE-IN                              ,252
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,OVER VOTES                            ,15
1,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,UNDER VOTES                           ,1489
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,LIB,Matthew Klokel                        ,1849
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,John C. Cheeks                        ,2483
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,STG,G. Lee Aikin                          ,4617
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,REP,Carolina Celnik                       ,3052
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,David Grosso                          ,17230
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,DEM,Robert White                          ,30813
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,NON,WRITE-IN                              ,411
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,OVER VOTES                            ,24
1,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,UNDER VOTES                           ,20225
1,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Mary Lord                             ,14178
1,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Tony Donaldson Jr.                   ,5944
1,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Ashley Carter                         ,10176
1,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,WRITE-IN                              ,623
1,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,OVER VOTES                            ,26
1,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,UNDER VOTES                           ,9405
2,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,LIB,Gary Johnson - Bill Weld              ,853
2,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,STG,Jill Stein - Ajamu Baraka             ,351
2,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,REP,Donald J. Trump - Michael R. Pence    ,2304
2,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,DEM,Hillary Clinton - Tim Kaine           ,28714
2,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,NON,WRITE-IN                              ,939
2,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,OVER VOTES                            ,18
2,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,UNDER VOTES                           ,118
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,STG,Natale (Lino) Stracuzzi               ,1665
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,DEM,Eleanor Holmes Norton                 ,25879
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,LIB,Martin Moulton                        ,3497
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,NON,WRITE-IN                              ,345
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,OVER VOTES                            ,14
2,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,UNDER VOTES                           ,1897
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,LIB,Matthew Klokel                        ,2190
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,John C. Cheeks                        ,1922
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,STG,G. Lee Aikin                          ,2816
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,REP,Carolina Celnik                       ,5464
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,David Grosso                          ,11720
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,DEM,Robert White                          ,21615
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,NON,WRITE-IN                              ,314
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,OVER VOTES                            ,14
2,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,UNDER VOTES                           ,19761
2,WARD TWO MEMBER OF THE COUNCIL                          ,,DEM,Jack Evans                            ,27534
2,WARD TWO MEMBER OF THE COUNCIL                          ,,NON,WRITE-IN                              ,975
2,WARD TWO MEMBER OF THE COUNCIL                          ,,   ,OVER VOTES                            ,8
2,WARD TWO MEMBER OF THE COUNCIL                          ,,   ,UNDER VOTES                           ,4391
2,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Mary Lord                             ,11505
2,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Tony Donaldson Jr.                   ,2781
2,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Ashley Carter                         ,8537
2,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,WRITE-IN                              ,508
2,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,OVER VOTES                            ,44
2,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,UNDER VOTES                           ,9533
