office,candidate,votes
DISTRICT I MEMBER OF THE BOARD OF,Under Votes,6
DISTRICT I MEMBER OF THE BOARD OF,Over Votes,0
DISTRICT I MEMBER OF THE BOARD OF,MARY LORD,597
DISTRICT I MEMBER OF THE BOARD OF,Write In,159
